Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
223-ФЗ;№32514418417;Прочие;Договор на информационные услуги по предоставлению данных о потреблении холодного водоснабжения, далее (ХВС) с узлов учета;;;1;Информационные услуги по предоставлению данных о потреблении холодного водоснабжения, далее (ХВС) с узлов учета, установленных на объектах Заказчика;354000.00;RUB;;;;;63.9: Услуги информационные прочие;63.9: Услуги информационные прочие;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""КАЛАЧВОДОКАНАЛ""";;16.01.2025;16.01.2025;Закупка завершена;;16.01.2025;;
223-ФЗ;№32514415753;Прочие;Оказание услуг на предоставление имущественных прав, на условиях простой (неисключительной) лицензии на использование программного модуля Медико-экономической платформы МедСофтЛаб «Автоматизированная система управления стоимостью медицинских услуг», а также на услуги по его внедрению и информационно-технологическому сопровождению;;;1;Оказание услуг на предоставление имущественных прав, на условиях простой (неисключительной) лицензии на использование программного модуля Медико-экономической платформы МедСофтЛаб «Автоматизированная система управления стоимостью медицинских услуг», а также на услуги по его внедрению и информационно-технологическому сопровождению;111475.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ САРАТОВСКОЙ ОБЛАСТИ ""ПОДЛЕСНОВСКИЙ ДОМ-ИНТЕРНАТ ДЛЯ ПРЕСТАРЕЛЫХ И ИНВАЛИДОВ""";;15.01.2025;15.01.2025;Закупка завершена;;15.01.2025;23.01.2025;
223-ФЗ;№32514412012;Закупка у единственного поставщика (подрядчика, исполнителя);"Сопровождение программного продукта 1С: Бухгалтерия 8; 1С: Зарплата и Управление Персоналом 8 на 2025 год.";;;1;"Сопровождение программного продукта 1С: Бухгалтерия 8; 1С: Зарплата и Управление Персоналом 8. ";204120.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ТЕПЛОВОДОКАНАЛ"" Г.ЗАВОЛЖЬЯ";;14.01.2025;14.01.2025;Закупка завершена;;14.01.2025;;
223-ФЗ;№32514411520;Прочие;оказание услуг по разработке программного обеспечения, адаптации, установке, тестированию, сопровождению программного обеспечения;;;1;Оказание услуг по сопровождению, адаптации и модификации, разработке, тестированию, установке баз данных, программного обеспечения ;188988.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"КИРОВСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ВЯТСКИЙ ЭЛЕКТРОМАШИНОСТРОИТЕЛЬНЫЙ ТЕХНИКУМ""";;13.01.2025;13.01.2025;Закупка завершена;;13.01.2025;;
223-ФЗ;№32514406777;Прочие;Информационное обеспечение;;;1;Информационное обеспечение;187800.00;RUB;;;;;63.9: Услуги информационные прочие;63.9: Услуги информационные прочие;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ФИЗКУЛЬТУРНО-ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС В Р.П. АРДАТОВ НИЖЕГОРОДСКОЙ ОБЛАСТИ""";;10.01.2025;10.01.2025;Закупка завершена;;10.01.2025;;
223-ФЗ;№32514405713;Закупка у единственного поставщика (подрядчика, исполнителя);"Оказание услуг по информационному обслуживанию программных продуктов ""1С: Бухгалтерия государственного учреждения 8"", ""1С: Зарплата и кадры государственного учреждения8""";;;1;"Оказание услуг по информационному обслуживанию программных продуктов ""1С:Бухгалтерия государственного учреждения 8"", ""!с: Зарплата и кадры государственного учреждения8""";151200.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД КОМБИНИРОВАННОЙ НАПРАВЛЕННОСТИ № 6"" ГОРОДА СОСНОВОБОРСКА";;10.01.2025;10.01.2025;Закупка завершена;;10.01.2025;;
223-ФЗ;№32514404195;Закупка у единственного поставщика (подрядчика, исполнителя);Поставка, адаптация и сопровождение экземпляров Систем КонсультантПлюс;;;1;Поставка, адаптация и сопровождение экземпляров Систем КонсультантПлюс;104568.78;RUB;;;;;63.9: Услуги информационные прочие;63.9: Услуги информационные прочие;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР МАТЕРИАЛЬНО-ТЕХНИЧЕСКОГО ОБЕСПЕЧЕНИЯ""";;09.01.2025;09.01.2025;Закупка завершена;;09.01.2025;;
223-ФЗ;№32414393436;Закупка у единственного поставщика (подрядчика, исполнителя);Оказание услуги по сопровождению компьютерных программ и консультированию;;;1;Оказание услуги по сопровождению компьютерных программ и консультированию;180000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТРАЛЬНАЯ АПТЕКА""";;27.12.2024;27.12.2024;Закупка завершена;;27.12.2024;;
223-ФЗ;№32414387167;Прочие;"Программа для ЭВМ ""1С-Битрикс24"". Лицензия ""Энтерпрайз-250"" (облако, 12 мес.)";;;1;"Программа для ЭВМ ""1С-Битрикс24"". Лицензия ""Энтерпрайз-250"" (облако, 12 мес.)";326280.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""СТРОИТЕЛЬСТВО""";;26.12.2024;27.12.2024;Закупка завершена;;26.12.2024;;
223-ФЗ;№32414383045;Прочие;Оказание услуг по передаче, внедрению и сопровождению информационно-справочной системы (ИСС «ТЕХЭКСПЕРТ»);;;1;Оказание услуг по передаче, внедрению и сопровождению информационно-справочной системы (ИСС «ТЕХЭКСПЕРТ»);6015240.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""СТРОИТЕЛЬСТВО""";;26.12.2024;26.12.2024;Закупка завершена;;26.12.2024;;
223-ФЗ;№32414375466;Прочие;"Сопровождение программного комплекса ""1С Предприятие""";;;1;"Сопровождению программного комплекса ""1С Предприятие""";163920.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА КАЛИНИНГРАДА КАЛИНИНГРАДСКИЙ МОРСКОЙ ЛИЦЕЙ;;24.12.2024;24.12.2024;Закупка завершена;;24.12.2024;;
223-ФЗ;№32414358841;Прочие;Услуга по сопровождению информационных систем (Парус, УРМ, Дело);;;1;Сопровождение информационных систем;109368.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ №5 ""ГИМНАЗИЯ""";;20.12.2024;20.12.2024;Закупка завершена;;20.12.2024;;
223-ФЗ;№32414353663;Запрос котировок в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Оказание услуг по адаптации и сопровождению информационной справочной системы «Техэксперт: «Стройка. Проф»»  для нужд  ГАУ «Госэкспертиза Псковской области».;;;1;Оказание услуг по адаптации и сопровождению информационной справочной системы «Техэксперт: «Стройка. Проф»»  для нужд  ГАУ «Госэкспертиза Псковской области».;173981.00;RUB;;;;;63.9: Услуги информационные прочие;63.9: Услуги информационные прочие;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ПСКОВСКОЙ ОБЛАСТИ ""ПСКОВСКОЕ ОБЛАСТНОЕ УПРАВЛЕНИЕ ГОСУДАРСТВЕННОЙ ЭКСПЕРТИЗЫ ДОКУМЕНТАЦИИ В ОБЛАСТИ ГРАДОСТРОИТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ""";;19.12.2024;19.12.2024;Закупка завершена;;19.12.2024;26.12.2024;
223-ФЗ;№32414346180;Прочие;"Приобретение информационных услуг - справочно-правовой системы для нужд КГБУ ""Владивостокская ВСББЖ"" на 2025 год. ";;;1;Приобретение услуг по технической поддержке информационных технологий для нужд Учреждения на 2025 год;140000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ВЛАДИВОСТОКСКАЯ ВЕТЕРИНАРНАЯ СТАНЦИЯ ПО БОРЬБЕ С БОЛЕЗНЯМИ ЖИВОТНЫХ""";;18.12.2024;18.12.2024;Закупка завершена;;18.12.2024;20.12.2024;
223-ФЗ;№32414340416;Закупка у единственного поставщика (подрядчика, исполнителя);"Оказание услуг по разработке, модификации, адаптации и сопровождению программных продуктов системы ""1С: Предприятие""(только для участия субъектов малого и среднего предпринимательства)";;;1;"Оказание услуг по разработке, модификации, адаптации и сопровождению программных продуктов системы ""1С: Предприятие""";199548.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УЛЬЯНОВСКАЯ СЕТЕВАЯ КОМПАНИЯ""";;17.12.2024;17.12.2024;Закупка завершена;;17.12.2024;;
223-ФЗ;№32414336097;Прочие;Услуги по созданию сайта Регионального Центра координации деятельности по организации отдыха и оздоровления детей Свердловской области;;;1;Услуги по созданию сайта Регионального Центра координации деятельности по организации отдыха и оздоровления детей Свердловской области;583333.33;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ НЕТИПОВОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ДВОРЕЦ МОЛОДЁЖИ""";;16.12.2024;16.12.2024;Закупка завершена;;16.12.2024;;
223-ФЗ;№32414311045;Прочие;"Оказание услуг по анализу открытых источников данных c обеспечением возможности проверки результатов в интерактивном режиме в целях информационно-аналитического обеспечения деятельности АО ""Мособлгаз""";;;1;"Оказание услуг по анализу открытых источников данных c обеспечением возможности проверки результатов в интерактивном режиме в целях информационно-аналитического обеспечения деятельности АО ""Мособлгаз""";2310000.00;RUB;;;;;63.9: Услуги информационные прочие;63.9: Услуги информационные прочие;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСОБЛГАЗ""";;10.12.2024;10.12.2024;Закупка завершена;;10.12.2024;18.12.2024;
223-ФЗ;№32414293569;Прочие;Оказание услуг по сопровождению СИБ ЗОКИИ;;;1;Оказание услуг по сопровождению СИБ ЗОКИИ;1802742.66;RUB;;;;;63.9: Услуги информационные прочие;63.9: Услуги информационные прочие;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМАРСКАЯ СЕТЕВАЯ КОМПАНИЯ""";;05.12.2024;05.12.2024;Закупка завершена;;05.12.2024;13.12.2024;
223-ФЗ;№32414282480;Прочие;Размещение оборудования в ЦОД;;;1;Размещение оборудования в ЦОД;13008600.00;RUB;;;;;"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЪЕДИНЕННАЯ ЗЕРНОВАЯ КОМПАНИЯ""";;03.12.2024;03.12.2024;Закупка завершена;;03.12.2024;13.12.2024;
223-ФЗ;№32414275890;Прочие;Мониторинг транспорта;;;1;Мониторинг транспорта;363977.30;RUB;;;;;63.9: Услуги информационные прочие;63.9: Услуги информационные прочие;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОМОДЕДОВО ФЬЮЭЛ СЕРВИСИЗ""";;02.12.2024;02.12.2024;Закупка завершена;;02.12.2024;06.12.2024;
223-ФЗ;№32414274859;Запрос котировок в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;"оказание услуг по информационному обновлению и сопровождению программного продукта ""Комплексная система управления бюджетными учреждениями ""Талисман 2.0""";;;1;"оказание услуг по информационному обновлению и сопровождению программного продукта ""Комплексная система управления бюджетными учреждениями ""Талисман 2.0""";113725.92;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ НЕКОММЕРЧЕСКОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДОМ ХУДОЖЕСТВЕННОГО ТВОРЧЕСТВА ДЕТЕЙ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ КОРЕНОВСКИЙ РАЙОН;;02.12.2024;02.12.2024;Закупка завершена;;02.12.2024;10.12.2024;
223-ФЗ;№32414268173;Прочие;Программное обеспечение Борей 3D;;;1;Программное обеспечение Борей 3D;1138000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""СТРОИТЕЛЬСТВО""";;29.11.2024;29.11.2024;Закупка завершена;;29.11.2024;;
223-ФЗ;№32414243934;Открытый конкурс;Право заключения договора на оказание услуг по адаптации и модификации комплексной системы управления взаимодействием с клиентами АО «Татэнергосбыт» и сопровождению указанной системы;;;1;Право заключения договора на оказание услуг по адаптации и модификации комплексной системы управления взаимодействием с клиентами АО «Татэнергосбыт» и сопровождению указанной системы;62613115.20;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТЭНЕРГОСБЫТ""";;26.11.2024;26.11.2024;Закупка завершена;;26.11.2024;12.12.2024;
223-ФЗ;№32414239234;Запрос котировок в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;"Внедрение 1С: Управление торговлей и организация импорта справочника ""Номенклатура"" из 1С: Бухгалтерия предприятия с расширением реквизитов-свойств";;;1;"Внедрение 1С: Управление торговлей и организация импорта справочника ""Номенклатура"" из 1С: Бухгалтерия предприятия с расширением реквизитов-свойств";582700.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГЛАВНОЕ ВОЕННО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ №14""";;25.11.2024;25.11.2024;Закупка отменена;;25.11.2024;02.12.2024;
223-ФЗ;№32414235452;Прочие;Оказание услуг доступа к электронным изданиям в составе базы данных «НАУЧНАЯ ЭЛЕКТРОННАЯ БИБЛИОТЕКА eLIBRARY.RU»;;;1;Оказание услуг доступа к электронным изданиям в составе базы данных «НАУЧНАЯ ЭЛЕКТРОННАЯ БИБЛИОТЕКА eLIBRARY.RU»;1001461.00;RUB;;;;;"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ АЭРОКОСМИЧЕСКОГО ПРИБОРОСТРОЕНИЯ""";;24.11.2024;24.11.2024;Закупка завершена;;24.11.2024;;
223-ФЗ;№32414228196;Прочие;Программное обеспечение Frost 3D, версии «Многоядерная CPU Standart»;;;1;Программное обеспечение Frost 3D, версии «Многоядерная CPU Standart»;1879200.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""СТРОИТЕЛЬСТВО""";;21.11.2024;21.11.2024;Закупка завершена;;21.11.2024;;
223-ФЗ;№32414221044;Запрос котировок в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Обновление и сопровождение программного комплекса «ГРАНД-Смета»;;;1;Обновление и сопровождение программного комплекса «ГРАНД-Смета»;551000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗЭНЕРГО""";;20.11.2024;21.11.2024;Закупка завершена;;20.11.2024;27.11.2024;
223-ФЗ;№32414222435;Прочие;Право заключения договора на право использования лицензий систем управления конфигурациями ;;;1;Право заключения договора на право использования лицензий систем управления конфигурациями;2371600.00;RUB;;;;;"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЕКАТЕРИНБУРГСКАЯ ЭЛЕКТРОСЕТЕВАЯ КОМПАНИЯ""";;21.11.2024;21.11.2024;Закупка отменена;;21.11.2024;03.12.2024;
223-ФЗ;№32414191341;Закупка у единственного поставщика (подрядчика, исполнителя);услуги по информированию населения города Вологды с помощью таргетированной (целевой) рекламы;;;1;услуги по информированию населения города Вологды с помощью таргетированной (целевой) рекламы,  направленной на вовлечение населения в народное голосование «Культурная столица» ;300000.00;RUB;;;;;"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ИНФОРМАЦИОННО-ИЗДАТЕЛЬСКИЙ ЦЕНТР ""ВОЛОГДА-ПОРТАЛ""";;13.11.2024;13.11.2024;Закупка завершена;;13.11.2024;;
223-ФЗ;№32414180538;Прочие;312/11.11.24/НСТЭЦ/КО/Э Оказание услуг по приобретению ПО ContentReader PDF Corporate;;;1;Оказание услуг по приобретению ПО ContentReader PDF Corporate;1894224.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВО-САЛАВАТСКАЯ ТЭЦ""";;11.11.2024;11.11.2024;Закупка завершена;;11.11.2024;19.11.2024;
223-ФЗ;№32414178104;Прочие;Оказание услуг по информационно-техническому сопровождению программного обеспечения САБ ИРБИС64 и продуктов семейства СК для нужд ГАНОУ СО «Дворец молодёжи»;;;1;Оказание услуг по информационно-техническому сопровождению программного обеспечения САБ ИРБИС64 и продуктов семейства СК для нужд ГАНОУ СО «Дворец молодёжи»;506300.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ НЕТИПОВОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ДВОРЕЦ МОЛОДЁЖИ""";;11.11.2024;11.11.2024;Закупка завершена;;11.11.2024;;
223-ФЗ;№32414162661;Прочие;ПОСТАВКА ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ VipNet client;;;1;ПОСТАВКА ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ VipNet client;8430.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""НЕВЬЯНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";;06.11.2024;06.11.2024;Закупка завершена;;06.11.2024;14.11.2024;
223-ФЗ;№32414132784;Прочие;"Программное обеспечение ""СметаПлан» Лицензия «Эксперт Сметы»";;;1;"Программное обеспечение ""СметаПлан» Лицензия «Эксперт Сметы»";283333.33;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""СТРОИТЕЛЬСТВО""";;29.10.2024;29.10.2024;Закупка завершена;;29.10.2024;;
223-ФЗ;№32414130947;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Предоставление права на использование ключа технической поддержки для модулей защиты аппаратной платформы UserGate;;;1;Предоставление права на использование ключа технической поддержки для модулей защиты аппаратной платформы UserGate;1662080.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТНС ЭНЕРГО НИЖНИЙ НОВГОРОД""";;28.10.2024;28.10.2024;Закупка завершена;;28.10.2024;05.11.2024;
223-ФЗ;№32414129329;Закупка у единственного поставщика (подрядчика, исполнителя);Закупка у единственного поставщика;;;1;"Предоставление неисключительных прав базы использования данных -Финансовая справочная система ""Система Финансовый Директор Плюс""";111944.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕЗАВИСИМАЯ ЭЛЕКТРОСЕТЕВАЯ КОМПАНИЯ""";;28.10.2024;28.10.2024;Закупка завершена;;28.10.2024;;
223-ФЗ;№32414123760;Прочие;ПОСТАВКА ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ VipNet client;;;1;ПОСТАВКА ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ VipNet client;7450.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""НЕВЬЯНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";;25.10.2024;25.10.2024;Закупка завершена;;25.10.2024;05.11.2024;
223-ФЗ;№32414124255;Открытый конкурс;Право заключения договора на оказание услуг по адаптации и модификации комплексной системы управления взаимодействием с клиентами АО «Татэнергосбыт» и сопровождению указанной системы;;;1;Право заключения договора на оказание услуг по адаптации и модификации комплексной системы управления взаимодействием с клиентами АО «Татэнергосбыт» и сопровождению указанной системы;60132300.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТЭНЕРГОСБЫТ""";;25.10.2024;25.10.2024;Закупка завершена;;25.10.2024;11.11.2024;
